Shot Number,Scan Number,Score,x,y
"1","1","10*","-2.23","-0.94"
"2","1","10*","-3.41","1.82"
"3","1","10*","2.78","3.03"
"4","1","10","-6.24","1.34"
"5","1","10","-0.02","6.57"
"6","1","10","-6.05","4.95"
"7","1","9","8.88","-4.99"
"8","1","9","-11.72","2.89"
"9","1","9","-2.15","-13.38"
"10","1","8","-2.74","16.21"
"11","2","10*","1.96","2.52"
"12","2","10*","-3.40","0.74"
"13","2","10*","-2.07","3.24"
"14","2","10*","2.34","3.83"
"15","2","10*","-1.92","4.27"
"16","2","10","-2.37","-4.27"
"17","2","10","-3.84","-3.16"
"18","2","10","5.73","-2.21"
"19","2","9","6.61","13.17"
"20","2","9","-12.81","8.10"
"21","3","10*","1.23","-1.76"
"22","3","10*","-1.86","-2.35"
"23","3","10*","-1.13","4.12"
"24","3","10","4.17","6.70"
"25","3","9","-3.92","7.36"
"26","3","9","-0.02","-8.38"
"27","3","9","-6.87","4.86"
"28","3","9","-6.43","5.89"
"29","3","9","9.98","9.94"
"30","3","8","17.12","11.70"
"31","4","10*","-0.43","0.35"
"32","4","10*","-1.46","-0.97"
"33","4","10","-4.99","-1.41"
"34","4","10","-6.31","-3.03"
"35","4","9","0.31","9.48"
"36","4","9","11.64","-0.82"
"37","4","9","-11.17","4.11"
"38","4","9","-12.13","-3.84"
"39","4","9","8.99","10.21"
"40","4","9","7.52","11.69"
"41","5","10*","0.15","1.91"
"42","5","10*","-3.08","2.05"
"43","5","10","2.42","5.54"
"44","5","10","-1.76","-6.19"
"45","5","10","-7.57","0.21"
"46","5","9","2.07","7.79"
"47","5","9","5.60","-7.66"
"48","5","9","9.43","-6.78"
"49","5","9","6.92","-9.43"
"50","5","9","-12.35","-9.87"
"51","6","10*","-1.67","2.75"
"52","6","10*","-4.17","-1.22"
"53","6","10","-0.34","-5.49"
"54","6","9","0.69","-8.88"
"55","6","9","6.50","6.94"
"56","6","9","0.69","10.92"
"57","6","9","-5.79","-11.67"
"58","6","9","13.49","1.57"
"59","6","9","-2.33","-13.44"
"60","6","9","-13.29","-3.28"
