Shot Number,Scan Number,Score,x,y
"1","1","7.7","-21.03","-15.66"
"2","1","6.9","-15.21","-28.20"
"3","1","6.5","-11.33","-33.89"
"4","1","6.4","-17.67","32.17"
"5","1","6.3","30.30","-21.61"
"6","1","4.9","23.84","42.26"
"7","1","4.3","36.51","-38.42"
"8","1","4.1","-34.60","-42.56"
"9","1","3.9","-51.80","22.48"
"10","1","3.0","16.47","-61.17"
"11","2","9.8","-0.24","-9.43"
"12","2","7.8","-8.49","-23.85"
"13","2","7.1","22.33","-20.86"
"14","2","6.8","28.63","17.05"
"15","2","6.6","-26.95","21.98"
"16","2","5.8","-41.04","-6.76"
"17","2","4.6","-50.76","0.22"
"18","2","3.9","-55.14","10.89"
"19","2","0.0","19.04","78.51"
"20","2","0.0","-56.24","-61.51"
